Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=500
-131.500000	-70.500000	25.35528
-130.500000	-70.500000	25.35367
-129.500000	-70.500000	24.89484
-128.500000	-70.500000	24.29455
-127.500000	-70.500000	22.72968
-126.500000	-70.500000	21.99697
-125.500000	-70.500000	21.95343
-124.500000	-70.500000	21.88741
-123.500000	-70.500000	23.14546
-122.500000	-70.500000	24.03676
-121.500000	-70.500000	24.89235
-120.500000	-70.500000	24.84500
-119.500000	-70.500000	25.80840
-118.500000	-70.500000	27.18097
-117.500000	-70.500000	28.11832
-116.500000	-70.500000	27.02356
-115.500000	-70.500000	26.85342
-114.500000	-70.500000	23.84583
-113.500000	-70.500000	23.07646
-112.500000	-70.500000	19.85413
-111.500000	-70.500000	18.25315
-110.500000	-70.500000	17.38460
-109.500000	-70.500000	21.33987
-108.500000	-70.500000	18.79014
-107.500000	-70.500000	20.59407
-106.500000	-70.500000	14.23629
-105.500000	-70.500000	8.98394
-104.500000	-70.500000	7.22782
-103.500000	-70.500000	6.82424
-102.500000	-70.500000	8.53560
-101.500000	-70.500000	13.81299
-100.500000	-70.500000	17.57424
-99.500000	-70.500000	20.58254
-98.500000	-70.500000	15.16030
-97.500000	-70.500000	12.45980
-96.500000	-70.500000	8.52175
-95.500000	-70.500000	5.49285
-93.500000	-70.500000	16.24451
-92.500000	-70.500000	9.66870
-91.500000	-70.500000	12.78667
-90.500000	-70.500000	9.73319
-89.500000	-70.500000	9.32838
-88.500000	-70.500000	8.80914
-87.500000	-70.500000	9.01526
-86.500000	-70.500000	8.85881
-85.500000	-70.500000	10.67044
-84.500000	-70.500000	12.44985
-83.500000	-70.500000	5.21663
-82.500000	-70.500000	2.62189
-81.500000	-70.500000	3.31852
-80.500000	-70.500000	4.80720
-78.500000	-70.500000	0.71324
-77.500000	-70.500000	0.55469
-59.500000	-70.500000	84.16368
-58.500000	-70.500000	31.54462
-57.500000	-70.500000	12.35621
-56.500000	-70.500000	3.11362
-55.500000	-70.500000	0.05452
-54.500000	-70.500000	0.35301
-53.500000	-70.500000	0.91049
-52.500000	-70.500000	0.02527
-51.500000	-70.500000	1.92441
-50.500000	-70.500000	0.90617
-49.500000	-70.500000	2.40471
-48.500000	-70.500000	4.29188
-47.500000	-70.500000	5.81980
-46.500000	-70.500000	2.11193
-45.500000	-70.500000	2.93133
-44.500000	-70.500000	2.29931
-43.500000	-70.500000	4.05716
-42.500000	-70.500000	3.94466
-41.500000	-70.500000	2.77675
-40.500000	-70.500000	2.87891
-39.500000	-70.500000	2.91032
-38.500000	-70.500000	2.29775
-37.500000	-70.500000	3.07597
-36.500000	-70.500000	2.76381
-35.500000	-70.500000	2.55720
-34.500000	-70.500000	3.56252
-33.500000	-70.500000	3.51053
-32.500000	-70.500000	2.75963
-31.500000	-70.500000	2.75091
-30.500000	-70.500000	3.13987
-29.500000	-70.500000	3.10259
-28.500000	-70.500000	3.10671
-27.500000	-70.500000	2.98787
-26.500000	-70.500000	3.28003
-25.500000	-70.500000	4.16414
-24.500000	-70.500000	3.39162
-23.500000	-70.500000	2.63171
-22.500000	-70.500000	2.82568
-21.500000	-70.500000	1.80826
-20.500000	-70.500000	0.97548
-19.500000	-70.500000	0.98466
-18.500000	-70.500000	0.72616
-17.500000	-70.500000	0.23684
-16.500000	-70.500000	0.42675
-15.500000	-70.500000	0.68294
-14.500000	-70.500000	1.43029
-13.500000	-70.500000	4.13743
-12.500000	-70.500000	3.89063
-11.500000	-70.500000	2.81934
-10.500000	-70.500000	3.31809
-7.500000	-70.500000	0.45649
0.500000	-69.500000	7.31627
1.500000	-69.500000	7.56446
2.500000	-69.500000	6.77739
3.500000	-69.500000	5.14964
4.500000	-69.500000	5.15164
5.500000	-69.500000	5.98646
6.500000	-69.500000	7.49795
7.500000	-69.500000	7.39496
8.500000	-69.500000	6.42573
9.500000	-69.500000	4.89474
10.500000	-69.500000	5.12784
13.500000	-69.500000	0.00367
15.500000	-69.500000	19.82289
16.500000	-69.500000	17.45964
17.500000	-69.500000	18.70436
18.500000	-69.500000	23.00253
20.500000	-69.500000	1.92844
21.500000	-69.500000	2.42601
22.500000	-69.500000	5.70199
23.500000	-69.500000	6.93501
24.500000	-69.500000	9.66928
25.500000	-69.500000	11.02020
26.500000	-69.500000	10.89964
27.500000	-69.500000	10.54983
161.500000	-69.500000	14.87525
162.500000	-69.500000	13.40300
163.500000	-69.500000	10.90589
164.500000	-69.500000	10.26856
165.500000	-69.500000	8.43242
166.500000	-69.500000	11.38901
167.500000	-69.500000	7.69647
168.500000	-69.500000	6.18888
169.500000	-69.500000	7.80579
170.500000	-69.500000	9.37812
171.500000	-69.500000	3.96347
172.500000	-69.500000	6.26003
173.500000	-69.500000	4.09186
-185.500000	-69.500000	2.55234
-184.500000	-69.500000	0.85326
-183.500000	-69.500000	1.46345
-182.500000	-69.500000	2.66537
-181.500000	-69.500000	6.76319
-180.500000	-69.500000	14.45635
-179.500000	-69.500000	19.71816
-178.500000	-69.500000	21.78365
-177.500000	-69.500000	22.73082
-176.500000	-69.500000	22.34602
-175.500000	-69.500000	20.43531
-174.500000	-69.500000	18.30356
-173.500000	-69.500000	16.00328
-172.500000	-69.500000	13.54442
-171.500000	-69.500000	10.82976
-170.500000	-69.500000	9.30864
-169.500000	-69.500000	8.55575
-168.500000	-69.500000	8.28380
-167.500000	-69.500000	9.57487
-166.500000	-69.500000	8.56276
-165.500000	-69.500000	8.40391
-164.500000	-69.500000	7.56842
-163.500000	-69.500000	7.84489
-162.500000	-69.500000	7.65773
-161.500000	-69.500000	7.43087
-160.500000	-69.500000	7.28099
-159.500000	-69.500000	7.78494
-158.500000	-69.500000	7.68751
-157.500000	-69.500000	7.39812
-156.500000	-69.500000	8.21676
-155.500000	-69.500000	8.36443
-154.500000	-69.500000	8.46845
-153.500000	-69.500000	8.44570
-152.500000	-69.500000	8.20159
-151.500000	-69.500000	8.47875
-150.500000	-69.500000	9.29611
-149.500000	-69.500000	10.27312
-148.500000	-69.500000	11.48589
-147.500000	-69.500000	12.56943
-146.500000	-69.500000	13.13852
-145.500000	-69.500000	14.31038
-144.500000	-69.500000	15.27434
-143.500000	-69.500000	15.97925
-142.500000	-69.500000	16.62093
-141.500000	-69.500000	17.50160
-140.500000	-69.500000	18.29002
-139.500000	-69.500000	19.58675
-138.500000	-69.500000	20.19821
-137.500000	-69.500000	20.85824
-136.500000	-69.500000	21.66125
-135.500000	-69.500000	22.45744
-134.500000	-69.500000	23.18565
-133.500000	-69.500000	23.96045
-132.500000	-69.500000	24.22505
-131.500000	-69.500000	24.25324
-130.500000	-69.500000	24.10602
-129.500000	-69.500000	23.64360
-128.500000	-69.500000	23.16542
