Longitude	Latitude	Potential Vorticity Q [10~^-~^1~^2 m~^-~^1 s~^-~^1] @ Depth [m]=first
-115.500000	-71.500000	87.51013
-114.500000	-71.500000	75.44130
-113.500000	-71.500000	73.19537
-112.500000	-71.500000	49.88456
-111.500000	-71.500000	23.04494
-110.500000	-71.500000	65.20969
-109.500000	-71.500000	44.34941
-108.500000	-71.500000	79.55559
-107.500000	-71.500000	63.28040
-106.500000	-71.500000	115.47850
-105.500000	-71.500000	143.17464
-104.500000	-71.500000	168.26588
-103.500000	-71.500000	205.42060
-102.500000	-71.500000	261.07723
-101.500000	-71.500000	339.82180
-99.500000	-71.500000	407.58555
-95.500000	-71.500000	258.78868
-94.500000	-71.500000	265.32570
-93.500000	-71.500000	286.00001
-92.500000	-71.500000	270.04597
-91.500000	-71.500000	287.40996
-90.500000	-71.500000	275.28555
-89.500000	-71.500000	209.23414
-88.500000	-71.500000	188.63205
-87.500000	-71.500000	167.65662
-86.500000	-71.500000	189.54061
-85.500000	-71.500000	425.13365
-84.500000	-71.500000	450.69652
-83.500000	-71.500000	413.06070
-82.500000	-71.500000	370.94502
-81.500000	-71.500000	274.93720
-80.500000	-71.500000	293.20294
-79.500000	-71.500000	95.87847
-78.500000	-71.500000	24.66325
-77.500000	-71.500000	111.54167
-76.500000	-71.500000	109.50594
-59.500000	-71.500000	6.74324
-58.500000	-71.500000	7.17222
-57.500000	-71.500000	8.80699
-56.500000	-71.500000	27.83046
-55.500000	-71.500000	46.55537
-54.500000	-71.500000	56.40815
-53.500000	-71.500000	68.10728
-52.500000	-71.500000	61.35855
-51.500000	-71.500000	50.90791
-50.500000	-71.500000	55.92406
-49.500000	-71.500000	50.08439
-48.500000	-71.500000	46.01710
-47.500000	-71.500000	38.29600
-46.500000	-71.500000	36.70698
-45.500000	-71.500000	28.20254
-44.500000	-71.500000	121.19843
-43.500000	-71.500000	218.77887
-42.500000	-71.500000	335.56811
-41.500000	-71.500000	446.29122
-40.500000	-71.500000	550.86521
-39.500000	-71.500000	645.10102
-38.500000	-71.500000	738.57433
-37.500000	-71.500000	834.16626
-36.500000	-71.500000	911.75803
-35.500000	-71.500000	976.56826
-34.500000	-71.500000	1066.70118
-33.500000	-71.500000	1086.90250
-32.500000	-71.500000	1100.83037
-31.500000	-71.500000	1103.52668
-30.500000	-71.500000	1090.98029
-29.500000	-71.500000	1081.57230
-28.500000	-71.500000	1042.87063
-27.500000	-71.500000	1000.25109
-26.500000	-71.500000	990.93285
-25.500000	-71.500000	980.44955
-24.500000	-71.500000	972.21304
-23.500000	-71.500000	961.48548
-22.500000	-71.500000	926.40760
-21.500000	-71.500000	860.21740
-20.500000	-71.500000	711.70838
-19.500000	-71.500000	566.18406
-18.500000	-71.500000	394.20804
-17.500000	-71.500000	334.79498
-16.500000	-71.500000	298.10716
-15.500000	-71.500000	248.68258
-14.500000	-71.500000	212.20295
-13.500000	-71.500000	166.10886
-12.500000	-71.500000	138.60174
0.500000	-70.500000	10.64684
1.500000	-70.500000	49.55933
2.500000	-70.500000	0.59926
25.500000	-70.500000	420.07224
70.500000	-70.500000	409.17134
71.500000	-70.500000	660.55232
168.500000	-70.500000	196.23754
169.500000	-70.500000	219.09257
170.500000	-70.500000	170.80752
